"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458319.46087137,2458319.47838447,1513.131
2458319.75327457,2458319.77079778,1514.005
2458320.04518509,2458320.06271848,1514.885
2458320.33660465,2458320.35414819,1515.762
2458320.62753189,2458320.64508558,1516.638
2458320.91796557,2458320.93552921,1517.498
2458321.20790556,2458321.22547941,1518.381
2458321.49735093,2458321.51493493,1519.258
2458321.78630202,2458321.80389626,1520.142
2458322.07475972,2458322.09236433,1521.039
2458322.36272655,2458322.38034140,1521.923
2458322.65020370,2458322.66782882,1522.810
2458322.93719102,2458322.95482621,1523.681
2458323.22369105,2458323.24133662,1524.577
2458323.50970453,2458323.52736039,1525.466
2458323.79523353,2458323.81289976,1526.362
2458324.08028088,2458324.09795766,1527.274
2458324.36485090,2458324.38253817,1528.181
2458324.64894736,2458324.66664503,1529.079
2458324.93257213,2458324.95028012,1529.970
2458325.21572988,2458325.23344846,1530.885
2458325.49842320,2458325.51615221,1531.786
2458325.78065601,2458325.79839566,1532.706
2458326.06243295,2458326.08018336,1533.635
2458326.34376009,2458326.36152116,1534.557
2458326.62464218,2458326.64241390,1535.476
2458326.90508234,2458326.92286457,1536.384
2458327.18508586,2458327.20287889,1537.318
2458327.46465616,2458327.48245992,1538.244
2458327.74379853,2458327.76161310,1539.179
2458328.02251787,2458328.04034332,1540.119
2458328.30082080,2458328.31865712,1541.058
2458328.57871096,2458328.59655811,1541.994
2458328.85619214,2458328.87405006,1542.924
2458329.13326829,2458329.15113724,1543.877
2458329.40994308,2458329.42782308,1544.832
2458329.68622224,2458329.70411316,1545.776
2458329.96210877,2458329.98001066,1546.723
2458330.23760798,2458330.25552093,1547.679
2458330.51272175,2458330.53064572,1548.631
2458330.78745309,2458330.80538808,1549.583
2458331.06180491,2458331.07975130,1550.568
2458331.33578117,2458331.35373874,1551.535
2458331.60938508,2458331.62735383,1552.499
2458331.88261741,2458331.90059719,1553.453
2458332.15548066,2458332.17347175,1554.430
2458332.42797524,2458332.44597763,1555.406
2458332.70010374,2458332.71811746,1556.386
2458332.97186708,2458332.98989214,1557.365
2458333.24326785,2458333.26130427,1558.347
2458333.51430526,2458333.53235308,1559.331
2458333.78497943,2458333.80303867,1560.319
2458334.05529045,2458334.07336140,1561.331
2458334.32523927,2458334.34332179,1562.330
2458334.59482655,2458334.61292063,1563.329
2458334.86405046,2458334.88215599,1564.317
2458335.13291084,2458335.15102809,1565.330
2458335.40140583,2458335.41953489,1566.351
2458335.66953619,2458335.68767700,1567.366
2458335.93730036,2458335.95545289,1568.378
2458336.20469892,2458336.22286339,1569.410
2458336.47172942,2458336.48990579,1570.438
2458336.73839099,2458336.75657936,1571.475
2458337.00468306,2458337.02288365,1572.531
2458337.27060666,2458337.28881941,1573.582
2458337.53616088,2458337.55438579,1574.633
2458337.80134480,2458337.81958194,1575.689
2458338.06615825,2458338.08440793,1576.773
2458338.33060181,2458338.34886400,1577.854
2458338.59467774,2458338.61295243,1578.933
2458338.85838552,2458338.87667265,1580.008
