"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458325.44021263,2458325.49358645,4611.498
2458325.95809507,2458325.98620599,2428.783
2458326.10093295,2458326.33457241,20186.449
2458326.92999279,2458327.16115446,19972.369
2458327.35602177,2458327.45950065,8940.575
2458328.05500241,2458328.28900090,20217.469
2458328.88132490,2458329.09916249,18821.167
2458329.19397119,2458329.40341931,18096.318
2458329.98890365,2458330.22051876,20011.546
2458330.48239089,2458330.50585368,2027.186
2458330.85093155,2458330.91408202,5456.201
2458330.94028082,2458330.99435399,4671.921
2458331.10027856,2458331.32604644,19506.345
2458331.90615934,2458332.12691423,19073.222
2458332.23207346,2458332.42166325,16380.558
2458332.99904898,2458333.22683770,19680.946
2458333.49066235,2458333.50543393,1276.265
2458333.83588648,2458333.98555871,12931.681
2458334.09260713,2458334.31485243,19201.994
2458334.88685808,2458335.09990818,18407.529
2458335.19496984,2458335.39415389,17209.502
2458335.96187634,2458336.18418813,19207.739
2458336.38733970,2458336.46499427,6709.355
2458337.03465434,2458337.25659787,19175.920
2458337.82796232,2458338.00881716,15625.858
2458338.10574146,2458338.32036511,18543.483
2458338.88016031,2458339.08665404,17841.058
2458339.17897298,2458339.37660503,17075.410
2458339.93226942,2458340.14656113,18514.804
2458340.26901186,2458340.42572734,13540.218
2458340.98021361,2458341.19649213,18686.464
2458341.41797277,2458341.46728709,4260.757
2458342.02368573,2458342.23882376,18587.926
2458342.80440637,2458342.94369423,12034.471
2458343.06282398,2458343.27468515,18304.805
2458343.82457113,2458344.00151966,15288.353
2458344.09780265,2458344.30472373,17877.982
2458344.84884744,2458345.03851268,16387.077
2458345.12866451,2458345.32932995,17337.494
2458345.86967001,2458346.06543267,16913.894
2458346.15520251,2458346.34873472,16721.183
2458346.88613296,2458347.08487567,17171.370
2458347.17687152,2458347.36306895,16087.458
2458347.89791841,2458348.09784384,17273.557
2458348.19278171,2458348.37240526,15519.475
2458348.90484867,2458349.10477631,17273.747
2458349.20187923,2458349.37678506,15111.864
2458349.90681138,2458350.10585263,17197.164
2458350.20334799,2458350.37623092,14937.085
2458350.90374995,2458351.10110208,17051.224
2458351.19702426,2458351.37074865,15009.788
2458351.89566722,2458352.09043244,16827.715
2458352.18347513,2458352.36032862,15280.142
2458352.88262927,2458353.07359985,16499.858
2458353.16368157,2458353.34495209,15661.773
2458353.86476776,2458354.05009302,16012.103
2458354.13862756,2458354.32459901,16067.933
2458354.84229500,2458355.01881718,15251.516
2458355.10906706,2458355.29924698,16431.544
2458355.81557290,2458355.97710091,13956.019
2458356.07548703,2458356.26885477,16706.973
2458356.78548728,2458356.91606075,11281.548
2458357.03816670,2458357.23332389,16861.581
2458357.76180549,2458357.77755273,1360.562
2458357.99725377,2458358.19242426,16862.730
2458358.40538168,2458358.43451840,2517.412
2458358.95282747,2458359.14563911,16658.926
2458359.26810377,2458359.39720689,11154.509
2458359.90495221,2458360.09178976,16142.764
2458360.18507104,2458360.35015468,14263.226
2458360.85375772,2458361.02788975,15045.008
2458361.11637807,2458361.29736245,15637.050
2458361.79973122,2458361.94388558,12454.937
2458362.05095620,2458362.23900861,16247.728
2458362.74769570,2458362.78180588,2947.120
2458362.98530736,2458363.17446063,16342.843
2458363.34626629,2458363.41402107,5854.012
2458363.91791899,2458364.10189467,15895.499
2458364.19801030,2458364.35317812,13406.500
2458364.84816083,2458365.01591584,14494.033
2458365.10485808,2458365.28258120,15355.277
2458365.77653850,2458365.89159173,9940.599
2458366.02021304,2458366.20500307,15965.859
2458366.93668354,2458367.11879293,15734.251
2458367.22185214,2458367.36312423,12205.908
2458367.85195724,2458368.01731317,14286.753
2458368.10565252,2458368.27916750,14991.694
2458368.76617977,2458368.86381614,8435.782
2458369.00540876,2458369.18672143,15665.415
2458369.90791551,2458370.08312667,15138.245
2458370.17402948,2458370.32890468,13381.218
2458370.81014575,2458370.95222393,12275.554
2458371.05328768,2458371.22936302,15212.909
2458371.94314239,2458372.11941818,15230.228
2458372.22299884,2458372.35638855,11524.871
2458372.83477839,2458372.98758004,13202.062
2458373.07936599,2458373.25009457,14750.950
2458373.72848270,2458373.76516284,3169.164
2458373.95760787,2458374.13222336,15086.779
2458374.24447348,2458374.36381942,10311.490
2458374.83961482,2458374.99204505,13169.972
2458375.08266850,2458375.25040426,14492.370
2458375.72420605,2458375.75865692,2976.555
2458375.95127441,2458376.12311621,14847.131
2458376.22943397,2458376.35350343,10719.602
2458376.82457716,2458376.96783964,12377.878
2458377.06304936,2458377.23048759,14466.663
2458377.70461122,2458377.71304482,728.663
2458377.92416938,2458378.09144291,14452.433
2458378.18434635,2458378.32466148,12123.227
2458378.78965072,2458378.90668378,10111.656
2458379.02157947,2458379.18949483,14507.887
2458379.87658594,2458380.03380612,13583.824
2458380.11993734,2458380.27484768,13384.254
2458380.73546626,2458380.78852889,4584.611
2458380.95975082,2458381.12539012,14311.236
2458381.23490249,2458381.34694571,9680.534
2458381.80914562,2458381.93699414,11046.112
2458382.03966411,2458382.20238346,14058.951
2458382.87874208,2458383.03233771,13270.662
2458383.11830239,2458383.26928687,13045.059
2458383.72346749,2458383.76488413,3578.397
2458383.94353322,2458384.10424506,13885.503
2458384.20251753,2458384.32580640,10652.158
2458384.77960424,2458384.87975359,8652.903
2458385.00360146,2458385.16394422,13853.615
2458385.83115412,2458385.96533049,11592.838
2458386.05927919,2458386.21475577,13433.176
2458386.87741675,2458387.02518565,12767.233
2458387.11117744,2458387.25783319,12671.057
2458387.70392008,2458387.73138906,2373.321
2458387.91822313,2458388.07124638,13221.208
2458388.16049905,2458388.29331780,11475.540
2458388.73731502,2458388.79151182,4682.603
2458388.95347057,2458389.10785023,13338.403
2458389.21034558,2458389.31981785,9458.404
2458389.76582935,2458389.84688832,7003.495
2458389.98303694,2458390.13674709,13280.557
2458390.28262972,2458390.31696881,2966.897
2458390.78887728,2458390.88969290,8710.470
2458391.00675121,2458391.15874086,13131.906
2458391.80623086,2458391.91835707,9687.704
2458392.02438993,2458392.17422520,12945.767
2458392.81773095,2458392.93526408,10154.862
2458393.03570161,2458393.18339171,12760.425
2458393.82324710,2458393.94216374,10274.397
2458394.04045707,2458394.18632028,12602.582
2458394.82268206,2458394.93974568,10114.296
2458395.03851334,2458395.18301758,12485.166
2458395.81598615,2458395.92788264,9667.857
2458396.02986256,2458396.17343129,12404.339
2458396.80316945,2458396.90568436,8857.288
2458397.01463919,2458397.15745165,12338.996
2458397.78430556,2458397.87163623,7545.370
2458397.99308099,2458398.13489577,12252.797
2458398.75952799,2458398.82549398,5699.462
2458398.96546717,2458399.10544895,12094.425
2458399.22039092,2458399.29126467,6123.492
2458399.72903080,2458399.77225496,3734.567
2458399.93206368,2458400.06851051,11789.006
2458400.16180473,2458400.27130732,9461.024
2458400.69312261,2458400.71774181,2127.099
2458400.89309036,2458401.02280883,11207.676
2458401.11029061,2458401.23484732,10761.699
2458401.65279379,2458401.66187653,784.748
2458401.84871200,2458401.96539532,10081.439
2458402.05788669,2458402.18963124,11382.730
2458402.79905133,2458402.88961964,7825.102
2458403.00253514,2458403.13641368,11567.106
2458403.74423878,2458403.79470258,4360.072
2458403.94331026,2458404.07430520,11317.963
2458404.17404150,2458404.26642507,7981.941
2458404.68460022,2458404.70588812,1839.274
2458404.87970255,2458405.00014736,10406.431
2458405.08916526,2458405.21110870,10535.913
2458405.81142055,2458405.90468258,8057.840
2458406.01195983,2458406.14069934,11123.094
2458406.73837103,2458406.78309092,3863.798
2458406.93349658,2458407.05872285,10819.550
2458407.15573702,2458407.25042403,8180.957
2458407.66103561,2458407.67505406,1211.194
2458407.85157407,2458407.95897341,9279.303
2458408.05317216,2458408.17531248,10552.924
2458408.76538853,2458408.82494071,5145.309
2458408.95923637,2458409.08276106,10672.533
2458409.20762941,2458409.24191728,2962.472
2458409.67497432,2458409.69296199,1554.135
2458409.86385045,2458409.97138823,9291.264
2458410.06431861,2458410.18125309,10103.140
2458410.76487432,2458410.82180874,4919.134
2458410.95610513,2458411.07592982,10352.853
2458411.20093990,2458411.23288245,2759.836
2458411.66210970,2458411.67662714,1254.307
2458411.84809652,2458411.94692509,8538.789
2458412.04400351,2458412.15978286,10003.336
2458412.73696765,2458412.77670249,3433.090
2458412.92443620,2458413.03798868,9810.935
2458413.13653177,2458413.22393095,7551.289
2458413.62334036,2458413.62873506,466.102
2458413.80494081,2458413.88112708,6582.494
2458413.99452512,2458414.10960897,9943.245
2458414.68251400,2458414.70185474,1671.040
2458414.86565903,2458414.96425879,8519.019
2458415.06002335,2458415.16763538,9297.679
2458415.73554685,2458415.77255950,3197.894
2458415.91920613,2458416.02649497,9269.756
2458416.12658111,2458416.20996065,7203.992
2458416.78137199,2458416.84031020,5092.262
2458416.96577716,2458417.07496629,9433.941
2458417.64154697,2458417.65171983,878.935
2458417.81987664,2458417.89635632,6607.844
2458418.00557659,2458418.11274290,9259.169
2458418.67290774,2458418.68920226,1407.847
2458418.85104204,2458418.93754230,7473.622
2458419.03874287,2458419.14109784,8843.469
2458419.69723795,2458419.71910819,1889.589
2458419.87484454,2458419.96614148,7888.056
2458420.06523022,2458420.16062266,8241.906
2458420.71434964,2458420.74071600,2278.053
2458420.89123403,2458420.98417506,8030.105
2458421.08459932,2458421.17178431,7532.783
2458421.72418031,2458421.75315022,2503.000
2458421.90014533,2458421.99272744,7999.095
2458422.09577059,2458422.17540604,6880.503
2458422.72670628,2458422.75591087,2523.277
2458422.90152848,2458422.99227813,7840.770
2458423.09719646,2458423.17278270,6530.651
2458423.72193466,2458423.74904901,2342.681
2458423.89538590,2458423.98291205,7562.259
2458424.08808654,2458424.16461475,6612.038
2458424.70990901,2458424.73310861,2004.446
2458424.88179441,2458424.96439494,7136.686
2458425.06940147,2458425.15005694,6968.632
2458425.69071478,2458425.70896878,1577.145
2458425.86090255,2458425.93619069,6504.896
2458426.04284288,2458426.12775654,7336.540
2458426.66448329,2458426.67758109,1131.650
2458426.83290478,2458426.89758220,5588.129
2458427.00963059,2458427.09682276,7533.403
2458427.63141267,2458427.63965341,712.000
2458427.79800765,2458427.84840217,4354.086
2458427.97034758,2458428.05661902,7453.852
2458428.59200712,2458428.59526121,281.153
2458428.75640427,2458428.79075358,2967.780
2458428.92519893,2458429.00625925,7003.612
2458429.70826544,2458429.72874202,1769.176
2458429.87422309,2458429.94428720,6053.540
2458430.05692618,2458430.12570946,5942.875
2458430.65376449,2458430.66449014,926.697
2458430.81740149,2458430.86953756,4504.557
2458430.98851187,2458431.06713871,6793.359
2458431.59331666,2458431.59712595,329.123
2458431.75469804,2458431.78570507,2679.007
2458431.92016772,2458431.99368101,6351.548
2458432.68607986,2458432.70109886,1297.642
2458432.84816462,2458432.90542257,4947.087
2458433.02264049,2458433.09130711,5932.796
2458433.61164189,2458433.61729276,488.235
2458433.77131476,2458433.80494403,2905.569
2458433.93570092,2458434.00587985,6063.460
2458434.68909190,2458434.70388609,1278.218
2458434.84910567,2458434.90245373,4609.272
2458435.02306081,2458435.08486335,5339.739
2458435.60135846,2458435.60597141,398.558
2458435.75876701,2458435.78699762,2439.124
2458435.92047633,2458435.98415797,5502.094
2458436.66347153,2458436.67407447,916.094
2458436.82081652,2458436.86326844,3667.845
2458436.98802123,2458437.04936561,5300.155
2458437.56334721,2458437.56443368,93.871
2458437.71781782,2458437.73599426,1570.444
2458437.87564790,2458437.92786591,4511.636
2458438.06683624,2458438.08982264,1986.025
2458438.60998067,2458438.61506133,438.970
2458438.76440700,2458438.79078493,2279.053
2458438.92384529,2458438.97970882,4826.609
2458439.64938019,2458439.65769734,718.602
2458439.80337861,2458439.83670916,2879.759
2458439.96634832,2458440.01947249,4589.928
2458440.68112106,2458440.69255081,987.531
2458440.83485415,2458440.87271889,3271.513
2458441.00506496,2458441.04708082,3630.171
2458441.55467045,2458441.55575648,93.832
2458441.70528645,2458441.71927437,1208.557
2458441.85890714,2458441.89875264,3442.651
2458442.57197761,2458442.57432790,203.065
2458442.72199490,2458442.73760155,1348.415
2458442.87554957,2458442.91522853,3428.262
2458443.58217721,2458443.58504606,247.869
2458443.73136974,2458443.74749135,1392.907
2458443.88473769,2458443.92266230,3276.686
2458444.58523640,2458444.58819107,255.283
2458444.73354088,2458444.74912030,1346.061
