"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458334.39530727,2458334.45026612,4748.444
2458334.52539738,2458334.58677711,5303.209
2458334.66397554,2458334.71391868,4315.087
2458335.34345600,2458335.38696130,3758.857
2458335.46739896,2458335.52440151,4925.021
2458335.59724667,2458335.65173689,4707.955
2458335.73884538,2458335.77053010,2737.559
2458336.26762580,2458336.29025269,1954.964
2458336.38431895,2458336.43059215,3998.004
2458336.50614054,2458336.56034462,4683.232
2458336.63390134,2458336.68163986,4124.608
2458336.77840219,2458336.79141621,1124.411
2458337.27869028,2458337.30250531,2057.619
2458337.39260911,2458337.43622852,3768.717
2458337.51082268,2458337.56130310,4361.508
2458337.63431101,2458337.67867743,3833.258
2458337.77439261,2458337.78387068,818.905
2458338.25928111,2458338.27595850,1440.927
2458338.36855593,2458338.40569616,3208.916
2458338.48204810,2458338.52816342,3984.363
2458338.59956327,2458338.64347783,3794.217
2458338.72622997,2458338.75094960,2135.776
2458339.31332495,2458339.33929210,2243.561
2458339.42132526,2458339.46019571,3358.407
2458339.53235131,2458339.57506939,3690.842
2458339.64790184,2458339.68357667,3082.305
2458340.23249781,2458340.23401225,130.847
2458340.33051087,2458340.35616972,2216.925
2458340.43511987,2458340.47109826,3108.533
2458340.54229621,2458340.58086870,3332.663
2458340.65377548,2458340.68475259,2676.422
2458341.30972329,2458341.32982747,1737.001
2458341.40982156,2458341.44017485,2622.525
2458341.51205237,2458341.54659316,2984.325
2458341.61726583,2458341.64794140,2650.369
2458342.25216816,2458342.26088000,752.703
2458342.34613938,2458342.36749775,1845.363
2458342.44280456,2458342.47116991,2450.766
2458342.54124013,2458342.57120795,2589.219
2458342.64312865,2458342.66629785,2001.819
2458343.24652404,2458343.25221712,491.882
2458343.33581639,2458343.35312668,1495.609
2458343.42781290,2458343.45129937,2029.231
2458343.52118792,2458343.54667647,2202.211
2458343.61709791,2458343.63790087,1797.376
2458344.27795883,2458344.28695936,777.645
2458344.36404916,2458344.38010479,1387.206
2458344.45150655,2458344.47140281,1719.038
2458344.54014162,2458344.56006808,1721.645
2458344.63207242,2458344.64415078,1043.570
2458345.25236331,2458345.25435332,171.936
2458345.33155169,2458345.34210239,911.581
2458345.41307820,2458345.42710480,1211.898
2458345.49536665,2458345.51021270,1282.698
2458345.57938154,2458345.59012172,927.952
2458346.30679710,2458346.31183106,434.934
2458346.38101033,2458346.38875972,669.547
2458346.45580197,2458346.46377850,689.172
2458346.53209584,2458346.53557569,300.660

