"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458286.59946476,2458286.63729245,3268.312
2458286.84912798,2458286.88669388,3245.694
2458287.09576991,2458287.13307690,3223.324
2458287.33944594,2458287.37649395,3200.948
2458287.58021209,2458287.61700223,3178.668
2458287.81812124,2458287.85465342,3156.380
2458288.05323166,2458288.08950981,3134.432
2458288.28559713,2458288.32162220,3112.566
2458288.51527112,2458288.55104402,3090.778
2458288.74230399,2458288.77782619,3069.119
2458288.96675278,2458289.00202770,3047.753
2458289.18866714,2458289.22369664,3026.549
2458289.40809732,2458289.44288270,3005.457
2458289.62509267,2458289.65963679,2984.612
2458289.83970193,2458289.87400519,2963.802
2458290.05197023,2458290.08603725,2943.390
2458290.26194365,2458290.29577610,2923.123
2458290.46966449,2458290.50326388,2902.988
2458290.67517141,2458290.70854061,2883.099
2458290.87850847,2458290.91164905,2863.346
2458291.07971049,2458291.11262644,2843.938
2458291.27881750,2458291.31151059,2824.683
2458291.47586399,2458291.50833595,2805.578
2458291.67088261,2458291.70313647,2786.734
2458291.86391024,2458291.89594739,2768.010
2458292.05497665,2458292.08680141,2749.659
2458292.24411485,2458292.27572921,2731.481
2458292.43135448,2458292.46276019,2713.453
2458292.61672242,2458292.64792279,2695.712
2458292.80024842,2458292.83124407,2678.024
2458292.98196092,2458293.01275654,2660.741
2458293.16188731,2458293.19248524,2643.662
2458293.34005432,2458293.37045651,2626.749
2458293.51648798,2458293.54669694,2610.054
2458293.69120965,2458293.72122821,2593.603
2458293.86424783,2458293.89407775,2577.305
2458294.03562138,2458294.06526710,2561.390
2458294.20535485,2458294.23481835,2545.646
2458294.37346992,2458294.40275313,2530.069
2458294.53998757,2458294.56909335,2514.740
2458294.70492639,2458294.73385713,2499.616
2458294.86831106,2458294.89706895,2484.681
2458295.03015756,2458295.05874681,2470.111
2458295.19048707,2458295.21890973,2455.718
2458295.34931924,2458295.37757723,2441.491
2458295.50667273,2458295.53476875,2427.496
2458295.66256317,2458295.69050033,2413.771
2458295.81701236,2458295.84479151,2400.119
2458295.97003522,2458295.99766091,2386.859
2458296.12165068,2458296.14912545,2373.821
2458296.27187649,2458296.29920263,2360.979
2458296.42072943,2458296.44790895,2348.310
2458296.56822400,2458296.59525998,2335.908
2458296.71437447,2458296.74126867,2323.659
2458296.85919987,2458296.88595447,2311.598
2458297.00271222,2458297.02933119,2299.880
2458297.14492907,2458297.17141457,2288.347
2458297.28586618,2458297.31222026,2276.993
2458297.42553874,2458297.45176363,2265.831
2458297.56395941,2458297.59005805,2254.923
2458297.70114050,2458297.72711472,2244.172
2458297.83709952,2458297.86295092,2233.561
2458297.97184706,2458297.99757957,2223.289
2458298.10539863,2458298.13101461,2213.220
2458298.23776879,2458298.26327033,2203.333
2458298.36897079,2458298.39435963,2193.596
2458298.49901613,2458298.52429475,2184.073
2458298.62791472,2458298.65308609,2174.807
2458298.75568133,2458298.78074613,2165.599
2458298.88232789,2458298.90728915,2156.653
2458299.00786473,2458299.03272563,2147.981
2458299.13230560,2458299.15706795,2139.467
2458299.25566269,2458299.28032852,2131.128
2458299.37794761,2458299.40251872,2122.945
2458299.49916979,2458299.52364853,2114.963
2458299.61933771,2458299.64372690,2107.226
2458299.73846368,2458299.76276408,2099.555
2458299.85655843,2458299.88077240,2092.086
2458299.97363029,2458299.99776094,2084.888
2458300.08969131,2458300.11374070,2077.867
2458300.20475256,2458300.22872256,2071.008
2458300.31882422,2458300.34271630,2064.276
2458300.43191423,2458300.45573067,2057.740
2458300.54403040,2458300.56777372,2051.423
2458300.65517966,2458300.67885187,2045.279
2458300.76537350,2458300.78897525,2039.191
2458300.87461917,2458300.89815332,2033.351
2458300.98292449,2458301.00639377,2027.746
2458301.09029952,2458301.11370581,2022.303
2458301.19675318,2458301.22009827,2017.016
2458301.30229376,2458301.32557915,2011.858
2458301.40692733,2458301.43015526,2006.893
2458301.51065966,2458301.53383242,2002.126
2458301.61349483,2458301.63661491,1997.576
2458301.71544072,2458301.73850911,1993.108
2458301.81650420,2458301.83952252,1988.783
2458301.91668964,2458301.93966085,1984.712
2458302.01600459,2458302.03893106,1980.847
2458302.11445622,2458302.13733964,1977.127
2458302.21205066,2458302.23489299,1973.577
2458302.30879390,2458302.33159681,1970.171
2458302.40468875,2458302.42745464,1966.974
2458302.49973804,2458302.52246930,1963.981
2458302.59394317,2458302.61664251,1961.223
2458302.68730853,2458302.70997743,1958.592
2458302.77983842,2458302.80247823,1956.079
2458302.87153453,2458302.89414824,1953.825
2458302.96240048,2458302.98499081,1951.805
2458303.05244011,2458303.07500932,1949.980
2458303.14165690,2458303.16420721,1948.346
2458303.23005318,2458303.25258687,1946.911
2458303.31762993,2458303.34014944,1945.686
2458303.40438496,2458303.42689336,1944.726
2458303.49031587,2458303.51281612,1944.021
2458303.57541868,2458303.59791437,1943.628
2458303.65969136,2458303.68218507,1943.457
2458303.74313226,2458303.76562618,1943.475
2458303.82573751,2458303.84823521,1943.802
2458303.90750304,2458303.93000855,1944.476
2458303.98842491,2458304.01094219,1945.492
2458304.06849806,2458304.09103087,1946.835
2458304.14771560,2458304.17026844,1948.565
2458304.22606861,2458304.24864620,1950.704
2458304.30354393,2458304.32615208,1953.345
2458304.38012288,2458304.40276848,1956.580
2458304.45578370,2458304.47847424,1960.463
2458304.53049949,2458304.55324433,1965.154
2458304.60423855,2458304.62704857,1970.786
2458304.67696277,2458304.69985059,1977.508
2458304.74862480,2458304.77160645,1985.614
2458304.81916213,2458304.84226107,1995.748
2458304.88848813,2458304.91173952,2008.920
2458304.95647202,2458304.97993609,2027.296
2458305.02288712,2458305.04669910,2057.355
2458305.08718653,2458305.11228936,2168.885

